Unnamed: 0,id,party,name
,4874,Conservative,"Griffith, Andrew"
,1541,Labour,"Griffith, Dame Nia"
,1506,Independent,"Gwynne, Andrew"
,4473,Labour,"Haigh, Louise"
,415,Labour,"Hamilton, Fabian"
,4938,Labour,"Hamilton, Paulette"
,4827,Social Democratic & Labour Party,"Hanna, Claire"
,4645,Labour,"Hardy, Emma"
,4480,Labour,"Harris, Carolyn"
,3948,Conservative,"Harris, Rebecca"
,4510,Labour,"Hayes, Helen"
,350,Conservative,"Hayes, Sir John"
,4636,Sinn Féin,"Hazzard, Chris"
,400,Labour,"Healey, John"
,473,Labour (Co-op),"Hendrick, Sir Mark"
,1524,Labour (Co-op),"Hillier, Dame Meg"
,3969,Conservative,"Hinds, Damian"
,4494,Conservative,"Hoare, Simon"
,4602,Liberal Democrat,"Hobhouse, Wera"
,1521,Labour,"Hodgson, Mrs Sharon"
,4813,Conservative,"Holden, Mr Richard"
,4474,Conservative,"Hollinrake, Kevin"
,4803,Conservative,"Holmes, Paul"
,4873,Labour,"Hopkins, Rachel"
,467,Speaker,"Hoyle, Sir Lindsay"
,4407,Conservative,"Huddleston, Nigel"
,4853,Conservative,"Hudson, Dr Neil"
,1572,Conservative,"Hunt, Sir Jeremy"
,4511,Labour,"Huq, Dr Rupa"
,4394,Labour,"Hussain, Imran"
,4634,Liberal Democrat,"Jardine, Christine"
,4243,Labour,"Jarvis, Dan"
,40,Conservative,"Jenkin, Sir Bernard"
,4320,Conservative,"Jenrick, Robert"
,4592,Conservative,"Johnson, Dr Caroline"
,1533,Labour,"Johnson, Dame Diana"
,4824,Labour,"Johnson, Kim"
,4621,Labour,"Jones, Darren"
,4501,Labour,"Jones, Gerald"
,4716,Labour,"Jones, Ruth"
,4631,Labour,"Jones, Sarah"
,4316,Labour,"Kane, Mike"
,4805,Conservative,"Kearns, Alicia"
,4026,Labour,"Kendall, Liz"
,4671,Labour,"Khan, Afzal"
,4359,Labour,"Kinnock, Stephen"
,5011,Labour,"Kitchen, Gen"
,4858,Conservative,"Kruger, Danny"
,4505,Labour,"Kyle, Peter"
,4630,Plaid Cymru,"Lake, Ben"
,206,Labour,"Lammy, Mr David"
,4608,Conservative,"Lamont, John"
,4139,Labour,"Lavery, Ian"
,4403,Scottish National Party,"Law, Chris"
,4923,Labour,"Leadbeater, Kim"
,345,Conservative,"Leigh, Sir Edward"
,4277,Labour,"Lewell, Emma"
,4500,Labour,"Lewis, Clive"
,54,Conservative,"Lewis, Sir Julian"
,4943,Labour (Co-op),"Lightwood, Simon"
,4857,Democratic Unionist Party,"Lockhart, Carla"
,4396,Labour,"Long Bailey, Rebecca"
,4647,Conservative,"Lopez, Julia"
,4418,Labour,"Madders, Justin"
,3914,Labour,"Mahmood, Shabana"
,4484,Conservative,"Mak, Alan"
,4253,Labour (Co-op),"Malhotra, Seema"
,4495,Conservative,"Malthouse, Kit"
,4471,Labour (Co-op),"Maskell, Rachael"
,4245,Sinn Féin,"Maskey, Paul"
,4993,Labour,"Mather, Keir"
,4739,Conservative,"Mayhew, Jerome"
,1491,Labour,"McCarthy, Kerry"
,193,Labour,"McDonagh, Dame Siobhain"
,4269,Labour,"McDonald, Andy"
,178,Independent,"McDonnell, John"
,1587,Labour,"McFadden, Pat"
,4083,Labour,"McGovern, Alison"
,4125,Labour,"McKinnell, Catherine"
,4569,Labour (Co-op),"McMahon, Jim"
,4632,Labour,"McMorrin, Anna"
,4084,Conservative,"McVey, Esther"
,1510,Labour,"Miliband, Ed"
,4811,Labour,"Mishra, Navendu"
,1211,Conservative,"Mitchell, Sir Andrew"
,4804,Conservative,"Mohindra, Mr Gagan"
,4861,Conservative,"Moore, Robbie"
,4656,Liberal Democrat,"Moran, Layla"
,1548,Labour,"Morden, Jessica"
,4934,Liberal Democrat,"Morgan, Helen"
,4653,Labour,"Morgan, Stephen"
,3973,Labour,"Morris, Grahame"
,4759,Conservative,"Morrissey, Joy"
,4358,Conservative,"Morton, Wendy"
,4860,Conservative,"Mullan, Dr Kieran"
,1512,Conservative,"Mundell, David"
,3966,Labour,"Murray, Ian"
,4797,Labour (Co-op),"Murray, James"
,1466,Conservative,"Murrison, Dr Andrew"
,4082,Labour,"Nandy, Lisa"
,4799,Labour,"Nichols, Charlotte"
,4048,Conservative,"Nokes, Caroline"
,3991,Conservative,"Norman, Jesse"
,4641,Labour (Co-op),"Norris, Alex"
,4679,Conservative,"O'Brien, Neil"
,4371,Scottish National Party,"O'Hara, Brendan"
,4591,Liberal Democrat,"Olney, Sarah"
,4124,Labour,"Onwurah, Dame Chi"
,4820,Labour,"Oppong-Asare, Ms Abena"
,4515,Labour (Co-op),"Osamor, Kate"
,4783,Labour,"Osborne, Kate"
,4779,Labour,"Owatemi, Taiwo"
,4777,Labour,"Owen, Sarah"
,4066,Conservative,"Patel, Priti"
,4607,Labour,"Peacock, Stephanie"
,4520,Labour,"Pennycook, Matthew"
,3952,Labour,"Perkins, Mr Toby"
,4370,Labour,"Phillips, Jess"
,4046,Labour,"Phillipson, Bridget"
,4503,Conservative,"Philp, Chris"
,4682,Labour (Co-op),"Pollard, Luke"
,4263,Labour (Co-op),"Powell, Lucy"
,1576,Conservative,"Pritchard, Mark"
,3924,Labour,"Qureshi, Yasmin"
,4356,Labour,"Rayner, Angela"
,4268,Labour (Co-op),"Reed, Steve"
,4620,Labour,"Reeves, Ellie"
,4031,Labour,"Reeves, Rachel"
,4119,Labour (Co-op),"Reynolds, Jonathan"
,4764,Labour,"Ribeiro-Addy, Bell"
,4457,Labour,"Rimmer, Ms Marie"
,4360,Democratic Unionist Party,"Robinson, Gavin"
,4654,Labour,"Rodda, Matt"
,1447,Conservative,"Rosindell, Andrew"
,4521,Plaid Cymru,"Saville Roberts, Liz"
,4409,Labour,"Shah, Naz"
,4998,Labour,"Shanks, Michael"
,4131,Democratic Unionist Party,"Shannon, Jim"
,3997,Conservative,"Shelbrooke, Sir Alec"
,4518,Labour,"Siddiq, Tulip"
,4872,Conservative,"Simmonds, David"
,1516,Labour,"Slaughter, Andy"
,4436,Labour,"Smith, Cat"
,4778,Conservative,"Smith, Greg"
,4456,Labour,"Smith, Jeff"
,4118,Conservative,"Smith, Sir Julian"
,3928,Labour,"Smith, Nick"
,4444,Labour,"Smyth, Karin"
,4658,Labour (Co-op),"Sobel, Alex"
,4785,Conservative,"Spencer, Dr Ben"
,4514,Labour,"Starmer, Sir Keir"
,4425,Labour,"Stevens, Jo"
,4612,Liberal Democrat,"Stone, Jamie"
,5000,Labour,"Strathern, Alistair"
,4504,Labour,"Streeting, Wes"
,3935,Conservative,"Stride, Sir Mel"
,449,Labour,"Stringer, Graham"
,1482,Conservative,"Stuart, Graham"
,4786,Independent,"Sultana, Zarah"
,4483,Conservative,"Sunak, Rishi"
,55,Conservative,"Swayne, Sir Desmond"
,1383,Labour,"Tami, Mark"
,177,Labour (Co-op),"Thomas, Gareth"
,4479,Labour,"Thomas-Symonds, Nick"
,1536,Labour,"Thornberry, Emily"
,163,Labour,"Timms, Sir Stephen"
,410,Labour,"Trickett, Jon"
,4780,Conservative,"Trott, Laura"
,4462,Conservative,"Tugendhat, Tom"
,4030,Labour,"Turner, Karl"
,429,Labour,"Twigg, Derek"
,4618,Labour,"Twist, Liz"
,4076,Labour,"Vaz, Valerie"
,3957,Conservative,"Vickers, Martin"
,4844,Conservative,"Vickers, Matt"
,4871,Labour,"Wakeford, Christian"
,5025,Labour,"Webb, Chris"
,4523,Labour,"West, Catherine"
,4979,Labour,"Western, Andrew"
,4617,Labour,"Western, Matt"
,4527,Conservative,"Whately, Helen"
,39,Conservative,"Whittingdale, Sir John"
,4869,Labour,"Whittome, Nadia"
,4787,Conservative,"Wild, James"
,4108,Conservative,"Williamson, Sir Gavin"
,4776,Liberal Democrat,"Wilson, Munira"
,1593,Democratic Unionist Party,"Wilson, Sammy"
,1440,Scottish National Party,"Wishart, Pete"
,4384,Conservative,"Wood, Mike"
,1560,Conservative,"Wright, Sir Jeremy"
,4598,Labour,"Yasin, Mohammad"
,4382,Labour,"Zeichner, Daniel"
